Store Name,Store Number,Phone Number,Address,Url,Longitude,Latitude,City,State
Huntsville,,(256) 801-3741,"2501 Memorial Pkwy SW Huntsville, AL 35801",https://www.wholefoodsmarket.com/stores/huntsville,-86.5899110,34.71215649,huntsville,AL
Mountain Brook,,(205) 912-8400,"3100 Cahaba Village Plaza Birmingham, AL 35243",https://www.wholefoodsmarket.com/stores/birmingham,"-86.752324""","33.460088"",",birmingham,AL
Fayetteville,,(479) 695-5561,"3425 N College Ave Fayetteville, AR 72703",https://www.wholefoodsmarket.com/stores/fayetteville,"-94.1462""
 ","36.1136"",
 ",fayetteville,AR
Bowman,,(501) 312-2326,"501 S Bowman Rd Little Rock, AR 72211",https://www.wholefoodsmarket.com/stores/bowman,"-92.405594""","34.750282"",",bowman,AR
Flagstaff,,(928) 774-5747,"320 S Cambridge Ln Flagstaff, AZ 86001",https://www.wholefoodsmarket.com/stores/flagstaff,-111.641167,"35.191661"",",flagstaff,AZ
Sedona,,(928) 282-6311,"1420 W State Rte 89A Sedona, AZ 86336",https://www.wholefoodsmarket.com/stores/sedona,-111.784974,"34.863536"",",sedona,AZ
Scottsdale,,(480) 515-3777,"7111 E Mayo Blvd Phoenix, AZ 85054",https://www.wholefoodsmarket.com/stores/scottsdale,-111.927193,"33.653791"",",scottsdale,AZ
Paradise Valley,,(602) 569-7600,"10810 N Tatum Blvd Phoenix, AZ 85028",https://www.wholefoodsmarket.com/stores/paradisevalley,-111.979056,"33.585046"",",paradisevalley,AZ
Camelback,,(602) 761-4750,"4701 N 20th St Phoenix, AZ 85016",https://www.wholefoodsmarket.com/stores/camelback,-112.037908,"33.506471"",",camelback,AZ
Tempe,,(480) 456-1400,"750 S Ash Ave Tempe, AZ 85281",https://www.wholefoodsmarket.com/stores/tempe,"-111.943""
 ","33.4224"",
 ",tempe,AZ
Chandler,,(480) 821-9447,"2955 W Ray Rd Chandler, AZ 85224",https://www.wholefoodsmarket.com/stores/chandler,-111.892871,33.31855144,chandler,AZ
Oracle,,(520) 352-0111,"7133 N Oracle Rd Tucson, AZ 85704",https://www.wholefoodsmarket.com/stores/oracle,-110.978349,"32.336556"",",oracle,AZ
Speedway,,(520) 795-9844,"3360 E Speedway Blvd Tucson, AZ 85716",https://www.wholefoodsmarket.com/stores/speedway,-110.921476,"32.235584"",",speedway,AZ
River Road,,(520) 461-1300,"5555 E River Rd Tucson, AZ 85750",https://www.wholefoodsmarket.com/stores/riverroad,-110.874378,32.27492859,riverroad,AZ
Folsom,,(916) 984-8500,"270 Palladio Pkwy Folsom, CA 95630",https://www.wholefoodsmarket.com/stores/folsom,-121.118000,38.64869286,folsom,CA
Roseville,,(916) 781-5300,"1001 Galleria Blvd Roseville, CA 95678",https://www.wholefoodsmarket.com/stores/roseville,-121.267261,38.76733887,roseville,CA
Sacramento,,(916) 488-2800,"4315 Arden Way Sacramento, CA 95864",https://www.wholefoodsmarket.com/stores/sacramento,-121.363794,"38.596639"",",sacramento,CA
Napa,,(707) 224-6300,"3682 Bel Aire Plaza Napa, CA 94558",https://www.wholefoodsmarket.com/stores/napa,"-122.30663""","38.323501"",",napa,CA
Concord,,(925) 695-3180,"2085 Diamond Blvd Concord, CA 94520",https://www.wholefoodsmarket.com/stores/concord,-122.058839,"37.974136"",",concord,CA
South Lake Tahoe,,(530) 578-4555,"3600 Lake Tahoe Blvd. South Lake Tahoe, CA 96150",https://www.wholefoodsmarket.com/stores/southlaketahoe,-119.959176,"38.9472"",
 ",southlaketahoe,CA
Ygnacio Valley Road,,(925) 269-9010,"2941 Ygnacio Valley Rd Walnut Creek, CA 94598",https://www.wholefoodsmarket.com/stores/ygnaciovalleyroad,-122.015352,"37.925907"",",ygnaciovalleyroad,CA
Walnut Creek,,(925) 274-9700,"1333 Newell Ave Walnut Creek, CA 94596",https://www.wholefoodsmarket.com/stores/walnutcreek,-122.055304,"37.892732"",",walnutcreek,CA
Sonoma,,(707) 938-8500,"201 W Napa St Sonoma, CA 95476",https://www.wholefoodsmarket.com/stores/sonoma,-122.462716,"38.291326"",",sonoma,CA
Lafayette,,(925) 284-5305,"3502 Mt Diablo Blvd Lafayette, CA 94549",https://www.wholefoodsmarket.com/stores/lafayette,-122.117112,37.89326688,lafayette,CA
San Ramon,,(925) 355-9000,"100 Sunset Dr San Ramon, CA 94583",https://www.wholefoodsmarket.com/stores/ram,-121.961301,"37.761759"",",ram,CA
Dublin CA,,(925) 452-2226,"5200 Dublin Blvd Dublin, CA 94568",https://www.wholefoodsmarket.com/stores/dublin-ca,-121.889777,37.70564819,dublin-ca,CA
Berkeley,,(510) 649-1333,"3000 Telegraph Ave Berkeley, CA 94705",https://www.wholefoodsmarket.com/stores/berkeley,-122.260418,"37.855461"",",berkeley,CA
Gilman,,(510) 809-8293,"1025 Gilman St Berkeley, CA 94710",https://www.wholefoodsmarket.com/stores/gilman,-122.297552,"37.880873"",",gilman,CA
Santa Rosa,,(707) 575-7915,"1181 Yulupa Ave Santa Rosa, CA 95405",https://www.wholefoodsmarket.com/stores/santarosa,-122.674508,38.44240874,santarosa,CA
Temescal,,(510) 903-2222,"5110 Telegraph Ave Oakland, CA 94609",https://www.wholefoodsmarket.com/stores/temescal,-122.261575,"37.8376579""",temescal,CA
Oakland,,(510) 834-9800,"230 Bay Pl Oakland, CA 94612",https://www.wholefoodsmarket.com/stores/oakland,-122.260504,"37.812934"",",oakland,CA
Petaluma,,(707) 762-9352,"621 E Washington St Petaluma, CA 94952",https://www.wholefoodsmarket.com/stores/petaluma,-122.634423,"38.241187"",",petaluma,CA
Novato,,(415) 878-0455,"790 De Long Ave Novato, CA 94945",https://www.wholefoodsmarket.com/stores/novato,-122.565443,38.10588079,novato,CA
Coddingtown,,(707) 542-7411,"390 Coddingtown Mall Santa Rosa, CA 95401",https://www.wholefoodsmarket.com/stores/coddingtown,-122.731799,38.45797474,coddingtown,CA
San Rafael,,(415) 451-6333,"340 3rd St San Rafael, CA 94901",https://www.wholefoodsmarket.com/stores/sanrafael,-122.516766,"37.971236"",",sanrafael,CA
Fremont - California,,(510) 401-5880,"3111 Mowry Ave Fremont, CA 94538",https://www.wholefoodsmarket.com/stores/fremont-ca,-121.985073,37.55489857,fremont-ca,CA
Blithedale,,(415) 381-3900,"731 E Blithedale Ave Mill Valley, CA 94941",https://www.wholefoodsmarket.com/stores/blithedale,-122.525902,37.90251522,blithedale,CA
SoMa,,(415) 618-0066,"399 4th St San Francisco, CA 94107",https://www.wholefoodsmarket.com/stores/soma,-122.399626,"37.781155"",",soma,CA
Sebastopol,,(707) 829-9801,"6910 McKinley St Sebastopol, CA 95472",https://www.wholefoodsmarket.com/stores/sebastopol,-122.824105,"38.403778"",",sebastopol,CA
Franklin,,(415) 674-0500,"1765 California St San Francisco, CA 94109",https://www.wholefoodsmarket.com/stores/franklin,-122.423405,"37.789948"",",franklin,CA
Mill Valley,,(415) 381-1200,"414 Miller Ave Mill Valley, CA 94941",https://www.wholefoodsmarket.com/stores/millvalley,-122.536231,"37.896109"",",millvalley,CA
Potrero Hill,,(415) 552-1155,"450 Rhode Island St San Francisco, CA 94107",https://www.wholefoodsmarket.com/stores/potrerohill,-122.402825,"37.764634"",",potrerohill,CA
2001 Market Street,,(415) 626-1430,"2001 Market St San Francisco, CA 94114",https://www.wholefoodsmarket.com/stores/2001marketstreet,-122.427133,"37.76861"",
",2001marketstreet,CA
Noe Valley,,(415) 282-4700,"3950 24th St San Francisco, CA 94114",https://www.wholefoodsmarket.com/stores/noevalley,-122.430835,"37.751914"",",noevalley,CA
Haight Street,,(415) 876-6740,"690 Stanyan St San Francisco, CA 94117",https://www.wholefoodsmarket.com/stores/haightstreet,"-122.45278""","37.769562"",",haightstreet,CA
Ocean,,(415) 333-7400,"1150 Ocean Ave San Francisco, CA 94112",https://www.wholefoodsmarket.com/stores/ocean,-122.454367,"37.7237013""",ocean,CA
Stonestown,,(415) 375-4242,"3251 20th Ave San Francisco, CA 94132",https://www.wholefoodsmarket.com/stores/stonestown,"-122.4771""
","37.728"",
  ",stonestown,CA
San Mateo,,(650) 358-6900,"1010 Park Pl San Mateo, CA 94403",https://www.wholefoodsmarket.com/stores/sanmateo,-122.291697,"37.543935"",",sanmateo,CA
Santa Clara,,(408) 562-9162,"2732 Augustine Dr  Santa Clara, CA 95054",https://www.wholefoodsmarket.com/stores/santaclara,"-121.976""
 ","37.3808"",
 ",santaclara,CA
Redwood City,,(650) 367-1400,"1250 Jefferson Ave Redwood City, CA 94062",https://www.wholefoodsmarket.com/stores/redwoodcity,-122.231638,"37.482311"",",redwoodcity,CA
Palo Alto,,(650) 326-8676,"774 Emerson St Palo Alto, CA 94301",https://www.wholefoodsmarket.com/stores/paloalto,-122.159372,"37.442281"",",paloalto,CA
San Jose - on The Alameda,,(408) 207-1126,"777 The Alameda San Jose, CA 95126",https://www.wholefoodsmarket.com/stores/sanjose,-121.904991,"37.332295"",",sanjose,CA
Sunnyvale,,(408) 419-1290,"150 E McKinley Ave Sunnyvale, CA 94086",https://www.wholefoodsmarket.com/stores/sunnyvale,-122.030499,"37.373982"",",sunnyvale,CA
Los Altos,,(650) 559-0300,"4800 El Camino Real Los Altos, CA 94022",https://www.wholefoodsmarket.com/stores/losaltos,-122.110571,"37.398989"",",losaltos,CA
Campbell,,(408) 371-5000,"1690 S Bascom Ave Campbell, CA 95008",https://www.wholefoodsmarket.com/stores/campbell,-121.930487,37.29291591,campbell,CA
Cupertino,,(408) 257-7000,"20955 Stevens Creek Blvd Cupertino, CA 95014",https://www.wholefoodsmarket.com/stores/cupertino,-122.039662,"37.3234975""",cupertino,CA
Blossom Hill,,(408) 266-3700,"1146 Blossom Hill Rd San Jose, CA 95118",https://www.wholefoodsmarket.com/stores/blossomhill,-121.876958,37.24942149,blossomhill,CA
Los Gatos,,(408) 358-4434,"15980 Los Gatos Blvd Los Gatos, CA 95032",https://www.wholefoodsmarket.com/stores/losgatos,-121.961389,"37.23612"",
",losgatos,CA
Capitola,,(831) 464-2900,"1710 41st Ave Capitola, CA 95010",https://www.wholefoodsmarket.com/stores/capitola,-121.963562,"36.974291"",",capitola,CA
Santa Cruz,,(831) 426-9901,"911 Soquel Ave Santa Cruz, CA 95062",https://www.wholefoodsmarket.com/stores/santacruz,-122.014567,36.97883942,santacruz,CA
Fresno,,(559) 241-0300,"650 W Shaw Ave Fresno, CA 93704",https://www.wholefoodsmarket.com/stores/fresno,-119.805345,"36.809279"",",fresno,CA
Monterey,,(831) 333-1600,"800 Del Monte Center Monterey, CA 93940",https://www.wholefoodsmarket.com/stores/monterey,"-121.90037""","36.58338"",
",monterey,CA
San Luis Obispo,,(805) 785-0194,"1531 Froom Ranch Way San Luis Obispo, CA 93405",https://www.wholefoodsmarket.com/stores/sanluisobispo,-120.687432,"35.250638"",",sanluisobispo,CA
Santa Barbara,,(805) 837-6959,"3761 State St Santa Barbara, CA 93105",https://www.wholefoodsmarket.com/stores/santabarbara,-119.745512,34.43934579,santabarbara,CA
Oxnard,,(805) 751-4300,"650 Town Center Dr Oxnard, CA 93036",https://www.wholefoodsmarket.com/stores/oxnard,-119.179398,34.24025699,oxnard,CA
Valencia,,(661) 260-2377,"24130 Valencia Blvd Santa Clarita, CA 91355",https://www.wholefoodsmarket.com/stores/val,-118.555862,"34.41244"",
",val,CA
Thousand Oaks,,(805) 777-4730,"740 North Moorpark Rd Thousand Oaks, CA 91360",https://www.wholefoodsmarket.com/stores/thousandoaks,-118.873257,"34.187709"",",thousandoaks,CA
Porter Ranch,,(818) 363-3933,"20209 W Rinaldi St Porter Ranch, CA 91326",https://www.wholefoodsmarket.com/stores/porterranch,-118.574702,"34.275797"",",porterranch,CA
Woodland Hills,,(818) 610-0000,"21347 Ventura Blvd Woodland Hills, CA 91364",https://www.wholefoodsmarket.com/stores/woodlandhills,-118.596933,"34.168227"",",woodlandhills,CA
Sherman Oaks West,,(818) 382-3700,"4520 N Sepulveda Blvd Sherman Oaks, CA 91403",https://www.wholefoodsmarket.com/stores/shermanoaks-west,-118.466601,"34.151881"",",shermanoaks-west,CA
Sherman Oaks,,(818) 528-8030,"14311 Ventura Blvd Sherman Oaks, CA 91423",https://www.wholefoodsmarket.com/stores/sherman-oaks,"-118.44504""","34.15067"",
",sherman-oaks,CA
Sherman Oaks East,,(818) 853-8600,"12905 Riverside Dr Sherman Oaks, CA 91423",https://www.wholefoodsmarket.com/stores/shermanoakseast,-118.414101,"34.157986"",",shermanoakseast,CA
Malibu,,(424) 425-7351,"23401 Civic Center Way Malibu, CA 90265",https://www.wholefoodsmarket.com/stores/malibu,-118.686429,"34.038516"",",malibu,CA
Burbank,,(818) 239-5380,"3401 W Olive Ave Burbank, CA 91505",https://www.wholefoodsmarket.com/stores/burbank,-118.337861,"34.154293"",",burbank,CA
Glendale,,(818) 548-3695,"331 N Glendale Ave Glendale, CA 91206",https://www.wholefoodsmarket.com/stores/glendale,-118.245876,"34.150993"",",glendale,CA
Brentwood,,(310) 826-4433,"11737 San Vicente Blvd Los Angeles, CA 90049",https://www.wholefoodsmarket.com/stores/brentwood,-118.467401,"34.053675"",",brentwood,CA
Westwood,,(310) 824-0858,"1050 S Gayley Ave Los Angeles, CA 90024",https://www.wholefoodsmarket.com/stores/westwood,-118.446981,"34.061192"",",westwood,CA
West Hollywood,,(323) 848-4200,"7871 Santa Monica Blvd West Hollywood, CA 90046",https://www.wholefoodsmarket.com/stores/westhollywood,-118.360767,"34.091753"",",westhollywood,CA
Beverly Hills,,(310) 274-3360,"239 N Crescent Dr Beverly Hills, CA 90210",https://www.wholefoodsmarket.com/stores/beverlyhills,-118.398361,34.06946593,beverlyhills,CA
Montana Avenue,,(310) 576-4707,"1425 Montana Ave Santa Monica, CA 90403",https://www.wholefoodsmarket.com/stores/montanaave,"-118.4947""
","34.0328"",
 ",montanaave,CA
23rd & Wilshire Blvd,,(310) 315-0662,"2201 Wilshire Blvd Santa Monica, CA 90403",https://www.wholefoodsmarket.com/stores/santamonica,-118.481209,"34.033353"",",santamonica,CA
3rd & Fairfax,,(323) 964-6800,"6350 W 3rd St Los Angeles, CA 90036",https://www.wholefoodsmarket.com/stores/fairfax,"-118.36057""","34.070373"",",fairfax,CA
